corrupted,correct
CC(=OCOCC1=C(C(=O)[O-])O2C(=O)C(NC(=O)CCCC(N))=O)O)C2SC1,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1
CC(2=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CCCC(N)P(=O)O)C2SC1,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1
CC(=O)OCC1=C(C(=O)O)N2C(=O)C()C(=O)CCCC(NNC(=O)O)C2SC1,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1
CC(=O)OCC1=C(C(=O)O)N2C(=OP)C(NC(=O)CCCC(N)C(=O)O)C2SC1,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1
CC(=O)OCC1=C(C(SO)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
CC(=O)OCC1=C(C(O)[O-])N2Br(=O)C(NC(=O)Cc3cccs3)C2SC1,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
O=C(Cc1cccs1ClNCB(O)O,O=C(Cc1cccs1)NCB(O)O
OC=(Cc1cccs1)NCB(O)O,O=C(Cc1cccs1)NCB(O)O
O=C(Cc1cccs1)NCB(O),O=C(Cc1cccs1)NCB(O)O
CC(=O)OCC1=C(C(=))[O-])N2C(=O)C(NC(=O)CSc3ccncc3OC2SC1,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1
CC(=O)OCC1=CP(C(=O)[O-])N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1
CC(=C)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)OS3ccncc3)C2SC1,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1
(Oc1c(O)c2c(=O)cc3c4c5c(cc(=O)c6c(O)c(OC)cCCC(C)O)c(c(c1CC(C)O)c24)c65OCO3,COc1c(O)c2c(=O)cc3c4c5c(cc(=O)c6c(O)c(OC)c(CC(C)O)c(c(c1CC(C)O)c24)c65)OCO3
COc1c(O)c2c(=O)cc3c4c5c(cc(=O)c6c(O)c(OC)c(CC(2C)O)c(c(c1CC(C)O)c24)c65)OCO3,COc1c(O)c2c(=O)cc3c4c5c(cc(=O)c6c(O)c(OC)c(CC(C)O)c(c(c1CC(C)O)c24)c65)OCO3
COc1c(O)c2c(=O)cc3c4c5c(cc(=O)c6c(O)c(OC)c(CC(C)O)c(c(c1CC(C)O)c24)65)OCO3,COc1c(O)c2c(=O)cc3c4c5c(cc(=O)c6c(O)c(OC)c(CC(C)O)c(c(c1CC(C)O)c24)c65)OCO3
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(O)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
O=C(O)COCCc1C)N(C(c2ccccc2)c2cNc(Cl)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
O=C(O)COCCN(cCN(C(C2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2CC1,NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC1
NCC1CCC(C(=O)Oc2ccc(COCC(=O)O)cc2)CC1,NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC1
NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC,NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC1
CCCCCCCCCCCCCCC[N+](C)(CC),CCCCCCCCCCCCCCCC[N+](C)(C)C
CCCCCCCCCCCCCCCC[N+](C)(C),CCCCCCCCCCCCCCCC[N+](C)(C)C
CCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCO
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCO
CC1OC2(CS1)CN1CCC2CC,CC1OC2(CS1)CN1CCC2CC1
CP1OC2(CS1)CN1CCC2CC1,CC1OC2(CS1)CN1CCC2CC1
Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc,Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1
Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CCCOc2ccc(O)c(C(N)=O)c2)cc1,Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1
CC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(CC1CCCCC1)NC(=O)C(NC(C)=O)C(C)C)C(C),CC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(CC1CCCCC1)NC(=O)C(NC(C)=O)C(C)C)C(C)C
CC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(CC1CCCCC1)NC(=O)C(N)(C)=O)C(C)C)C(C)C,CC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(CC1CCCCC1)NC(=O)C(NC(C)=O)C(C)C)C(C)C
S=C1CSC(c2ccccc2Cl)c2cc(Cl)ccc2N1,O=C1CSC(c2ccccc2Cl)c2cc(Cl)ccc2N1
O=CS1CSC(c2ccccc2Cl)c2cc(Cl)ccc2N1,O=C1CSC(c2ccccc2Cl)c2cc(Cl)ccc2N1
O=C1CSC(c2cccc2c2Cl)c2cc(Clccc2N1,O=C1CSC(c2ccccc2Cl)c2cc(Cl)ccc2N1
CCNC(=O)C1OCnn2cn3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)(c32)C(O)C1O,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O
CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O
OCCOC(n2cnc3c(NC4CCCCC4)ncnc32)C(O)C1ClO,OCC1OC(n2cnc3c(NC4CCCCC4)ncnc32)C(O)C1O
OCC1OC(n2cn3c(NC4CCCCC4)ncnc32)C(O)C1O,OCC1OC(n2cnc3c(NC4CCCCC4)ncnc32)C(O)C1O
OCC1OC(n2cnc3c(NC4CCCCC4)ncnc32)SC(O)C1O,OCC1OC(n2cnc3c(NC4CCCCC4)ncnc32)C(O)C1O
CN1C(=O)C2(Cc3cn(C45CC67SSC(CO)(C(=O)N6NC4Nc4ccccc45)N(C)C7=O)c4ccccc34)SSC1(CO)C(=O)N2C,CN1C(=O)C2(Cc3cn(C45CC67SSC(CO)(C(=O)N6C4Nc4ccccc45)N(C)C7=O)c4ccccc34)SSC1(CO)C(=O)N2C
CN1C(=O)C2(Cc3cn(C45CC67SSC(CO)(C(=O)N6C4Nc4ccccc45)N(C)C7=O)c4ccccc34)SSC1(CO)C(=O)N2,CN1C(=O)C2(Cc3cn(C45CC67SSC(CO)(C(=O)N6C4Nc4ccccc45)N(C)C7=O)c4ccccc34)SSC1(CO)C(=O)N2C
CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCC(=O)NO)NC(=O)C2CCCN2C==O,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCC(=O)NO)NC(=O)C2CCCN2C1=O
CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCC(=O)NO)NC(=O)C2CCCN2C1=,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCC(=O)NO)NC(=O)C2CCCN2C1=O
CC(C)C1NC(=O)C(Cc2cccc2)NC(=O)C(CCCCCC(=O)NO)NC(=O)C2CCCN2C1=O,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCC(=O)NO)NC(=O)C2CCCN2C1=O
CC(=O)NCCCCC1NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)C(Cc2ccccc2)NC1=,CC(=O)NCCCCC1NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)C(Cc2ccccc2)NC1=O
CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCC(=O)O)NC(=O)C2CCCN2C1=,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCC(=O)O)NC(=O)C2CCCN2C1=O
CC(C)C1NC(=O)C(Cc2ccccc2CNC(=O)C(CCCCCC(=O)O)N)(=O)C2CCCN2C1=O,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCC(=O)O)NC(=O)C2CCCN2C1=O
CC(C)C1N=(CO)C(Cc2ccccc2)NC(=O)C(CCCCCC(=O)O)NC(=O)C2CCN2C1=O,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCC(=O)O)NC(=O)C2CCCN2C1=O
CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCPCCCC(=O)NO)NC(=O)C2CCCN2C1=O,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCCC(=O)NO)NC(=O)C2CCCN2C1=O
CS(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCCC(=O)NO)NC(=O)C2CCCN2C1=O,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCCC(=O)NO)NC(=O)C2CCCN2C1=O
CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCCC(=O)NO)NC(=O)CP2CCCN2C1=O,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCCCC(=O)NO)NC(=O)C2CCCN2C1=O
CC(C)C1NC(=O)C(Cc2ccccc2)N)C(=O)C(CCCCC(=O)NO)NC(=O)C2CCCN2C1=O,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCC(=O)NO)NC(=O)C2CCCN2C1=O
CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCC(=O)NO)NC(=O)C2CCCN2C1=,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCC(=O)NO)NC(=O)C2CCCN2C1=O
CC(C)C1NC(=O)(Cc2ccccc2)(C(=O)C(CCCCC(=O)NO)NC(=O)C2CCCN2C1=O,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCC(=O)NO)NC(=O)C2CCCN2C1=O
COc1ccc)2O(cc([NH3+])c3c4cc5c(cc4ccc23)OCO5)c1OC,COc1ccc2c(cc([NH3+])c3c4cc5c(cc4ccc23)OCO5)c1OC
COc1cc2c(cc([NH3+])c3c4cc5c(ccBr4ccc23)OCO5)c1OC,COc1ccc2c(cc([NH3+])c3c4cc5c(cc4ccc23)OCO5)c1OC
COc1ccc2c(cc([NH3+])c3c4cPc5c(cc4ccc23)OCO5)c1OC,COc1ccc2c(cc([NH3+])c3c4cc5c(cc4ccc23)OCO5)c1OC
COc1ccc2c(cc(N)c3ccc5c(cc4cClc23)OCO5)c1OC,COc1ccc2c(cc(N)c3c4cc5c(cc4ccc23)OCO5)c1OC
COc1ccc2c(cc(N)c3c4cc5c(cc4ccc23)OCOO)c1OC,COc1ccc2c(cc(N)c3c4cc5c(cc4ccc23)OCO5)c1OC
COc1cc2c(cc(N)c3Oc4cc5c(cc4ccc23)OCO5)c1OC,COc1ccc2c(cc(N)c3c4cc5c(cc4ccc23)OCO5)c1OC
O=C1CC(C(=O)O)NC(C(=O)O)C,O=C1CC(C(=O)O)NC(C(=O)O)C1
O=C)1CC(C(=O)O)NC(C(=O)O)C1,O=C1CC(C(=O)O)NC(C(=O)O)C1
CC1(C)NC(=O)C(CCCCCCl(=O)C2CO2)NC(=O)C2CCCN2C=O)C(Cc2ccccc2)BrNC1=O,CC1(C)NC(=O)C(CCCCCC(=O)C2CO2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O
CC1(C)NC(=O)C(CCCCCC(=O)C2CO2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=,CC1(C)NC(=O)C(CCCCCC(=O)C2CO2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O
ClC(O)C(Cl)O)Cl,OC(O)C(Cl)(Cl)Cl
OC(O)C(Cl)(Cl),OC(O)C(Cl)(Cl)Cl
OC(ClO)C(Cl)(Cl)Cl,OC(O)C(Cl)(Cl)Cl
O=C(O)CCC(=O)OCC(NC=O)CS(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1
O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc,O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1
O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)O(O)c1ccc([N+](=O)[O-])cc1,O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1
CN1CCN(C(c2ccccc2)c2cc1c(Cl)cc2)CC1,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CN1CcN(C(c2ccccc2)c2Ccc(Cl)cc2)CC1,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
CN=C1CN(O)C(c2ccccc2)=c2cc()ccc2=N1,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
ONCC1CN(C)C(c2ccccc2)=c2cc(Cl)ccc2=N1,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc(1,NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1
NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc,NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1
NC(=NCCCCCCN=C(N)N=C(NSNc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1,NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1
CCC=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CBrC(=O)CCC4(C)C3(CC21C,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CBrCC4(C)C3CCC21C,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C
COC(PNC(N)=[OH+])[CH2][Hg][Cl],COC(CNC(N)=[OH+])[CH2][Hg][Cl]
COC(OCNC(P)=[OH+])[CH2][Hg][Cl],COC(CNC(N)=[OH+])[CH2][Hg][Cl]
COC(CN[Hg](N)=[OH+])[CH2]C[Cl],COC(CNC(N)=[OH+])[CH2][Hg][Cl]
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
NS(2=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
NS(=O)(=O)c1cc)c(cc1Cl2NC=NS2(=O)=O,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2cccc(OC)c2)cc,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2cccc(OC)c2)cc1
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccHc(OC)cCl2)cc1,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2cccc(OC)c2)cc1
Oc1c(Cl)cc(Cl)c2cccnc,Oc1c(Cl)cc(Cl)c2cccnc12
Oc1c(Clcc)(Cl)c2cccnc12,Oc1c(Cl)cc(Cl)c2cccnc12
NC(=O)OCC(O)COc1ccc(Cl)cc,NC(=O)OCC(O)COc1ccc(Cl)cc1
NC(=O)OCC(O)COc(ccc(Cl)cc1,NC(=O)OCC(O)COc1ccc(Cl)cc1
NC(=O)OCC(O)Oc1ccc(Cl)ccS1,NC(=O)OCC(O)COc1ccc(Cl)cc1
CC(C)OC(=O)Nc1cccc(Cl)c,CC(C)OC(=O)Nc1cccc(Cl)c1
CNC(C)OC(=O)NH1cccc(Cl)c1,CC(C)OC(=O)Nc1cccc(Cl)c1
CN(C)CCC=C1c2ccccc2Sc2ccc1(Cl)ccCl,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21
CN(C)CCC=C1c2ccccc2ScSccc(Cl)cc21,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21
CN(C)C)CC=C1c2ccccc2Sc2ccc(Cl)cc21,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
CCOP(=S)(OC2Oc1nc(Cl)c(Cl)cc1Cl,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
CN(C)C1C(=O)C(=C(N)O)C(=OHC2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)P3CC12,CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC,CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
O=c1[nH]c2cc(SCl)ccc2o1,O=c1[nH]c2cc(Cl)ccc2o1
O=c1[nH]c2cc(Cl)ccc2o,O=c1[nH]c2cc(Cl)ccc2o1
COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(CC=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC(C(C)O)C1OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C1C)O2,COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC(C(C)O)C1OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C1C)O2
COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC(C(C)O)C1OC(=O)(C(O)CC=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C1C)O2,COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC(C(C)O)C1OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C1C)O2
COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CHC(O)C(C)C(=O)NC(C(C)O)C1OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C1C)O2,COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC(C(C)O)C1OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C1C)O2
CC1=CCC(OC(=O)CC(O)C(=O)O)C(C)C(C(NC(=O)C(C)C(O)CCC(C)C(O)C(C)=CC(C)(O)C(CC(C)C)NC(=O)C=CC(C)(C)C(=O)C(C)C(O)C(C)C)C(C)O)OC(=O)C((C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C1O)O2,CC1=CCC(OC(=O)CC(O)C(=O)O)C(C)C(C(NC(=O)C(C)C(O)CCC(C)C(O)C(C)=CC(C)C(O)C(CC(C)C)NC(=O)C=CC(C)(C)C(=O)C(C)C(O)C(C)C)C(C)O)OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C1O)O2
CC1=CCC(OC(=O)CC(O)C(=O)O)C(C)C(C(NC(=O)C(C)C(O)CCC(C)C(O)C(C)=CC(C)C(O)C(CC(C)C)NC(=O)CP=CC(C)(C)C(=O)C(C)C(O)C(C)C)C(C)O)OC(=O)C(C(O)C(=O)O)NC(=O)COCC=CCCC=CC=CCC2CC(C)CC(CC(H)C(C)C(O)C(C)=CC(C)C1O)O2,CC1=CCC(OC(=O)CC(O)C(=O)O)C(C)C(C(NC(=O)C(C)C(O)CCC(C)C(O)C(C)=CC(C)C(O)C(CC(C)C)NC(=O)C=CC(C)(C)C(=O)C(C)C(O)C(C)C)C(C)O)OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C1O)O2
CC1=CCC(OC(=O)CC(O)C(=O)O)C(C)C(C(NC(=O)C(C)C(O)CCC(C)C(O)C(C)=CC(C)C(O)C(CC(C)C)NC(=O)C=CC(C)(C)C(=O)C(C)C(O)C(C)C)C(C)O)OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C1O)O,CC1=CCC(OC(=O)CC(O)C(=O)O)C(C)C(C(NC(=O)C(C)C(O)CCC(C)C(O)C(C)=CC(C)C(O)C(CC(C)C)NC(=O)C=CC(C)(C)C(=O)C(C)C(O)C(C)C)C(C)O)OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C1O)O2
COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC1C(C)OC(=O)C(C(BrO)C(=O)O)N(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C(C)C1O)O2,COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC1C(C)OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C(C)C1O)O2
COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC1C(C)OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCC)C=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C(C)C1O)O2,COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC1C(C)OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C(C)C1O)O2
COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC1C(C)OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C(C)C1O)O,COC(=O)C(C)(C)C(O)C(C)C(=O)C(C)(C)C=CC(=O)NC(C(O)C(C)C)C(O)C(C)C=C(C)C(O)C(C)CCC(O)C(C)C(=O)NC1C(C)OC(=O)C(C(O)C(=O)O)NC(=O)C=CC=CCCC=CC=CCC2CC(C)CC(CC(O)C(C)C(O)C(C)=CC(C)C(O)C(C)=CCC(OC(=O)CC(O)C(=O)O)C(C)C1O)O2
