corrupted,correct
C=CCn1c(=O)c2c(nc(-c3ccc(S(=O)(=O)O)cc3)n2C)n(C)c1=,C=CCn1c(=O)c2c(nc(-c3ccc(S(=O)(=O)O)cc3)n2C)n(C)c1=O
C1(C(=O)OCCCCC)1,NC1(C(=O)O)CCCCC1
NC1(C(=O)O)CCCCC,NC1(C(=O)O)CCCCC1
NC11(=O)O)CCCCCC,NC1(C(=O)O)CCCCC1
N1nnc2cccNc21,Nn1nnc2ccccc21
Nn1nnc2ccccc,Nn1nnc2ccccc21
Nn1nnc2ccccc,Nn1nnc2ccccc21
N=1(C(CO)O)CCCC(C(=O)O)C1,NC1(C(=O)O)CCCC(C(=O)O)C1
ONC1(C(=O)O)CCCC(C(=Cl)O)C1,NC1(C(=O)O)CCCC(C(=O)O)C1
NC1(C(1O)O)CCCC(C(=O)O)C1,NC1(C(=O)O)CCCC(C(=O)O)C1
O=S=O()(O)c1cccc2cccc(Nc3ccccc3)Clc12,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12
O=S(=O)(O)c1cccccc2cc(Nc3cc(cc3)c12,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12
O=C(c1cPc2c(c1)OCO2)N1CCCCC,O=C(c1ccc2c(c1)OCO2)N1CCCCC1
O=C(c1cNcc2c(c1)OCO2)N1CCCCC1,O=C(c1ccc2c(c1)OCO2)N1CCCCC1
OC(c1ccc2c(c1)OCO2)N1CCCCC1,O=C(c1ccc2c(c1)OCO2)N1CCCCC1
COc1ccc(S(=O)(=O)N2CN(Cc3ccccc3)C(=O)CC2C(=O)NO)c=1,COc1ccc(S(=O)(=O)N2CN(Cc3ccccc3)C(=O)CC2C(=O)NO)cc1
COc1ccc(S(=O)(=O)N2CN(Cc3cccccN)C(O)CC2C(=O)3O)cc1,COc1ccc(S(=O)(=O)N2CN(Cc3ccccc3)C(=O)CC2C(=O)NO)cc1
COc1ccc(S(=O)(=O)N2CN(Cc3ccccc3)C(=O)CC2C(=O)NO)cc,COc1ccc(S(=O)(=O)N2CN(Cc3ccccc3)C(=O)CC2C(=O)NO)cc1
COC1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccccc1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccccc1
COc1ccc2c(c1)c(CC(=O)O)c(C)n2CCc1ccccc1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccccc1
COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccccc,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccccc1
Nc1ccnc2c1ncn2C1OC(CO)C(O)C1,Nc1ccnc2c1ncn2C1OC(CO)C(O)C1O
Nc1ccnc221ncn2C1OC(CO)C()C1O,Nc1ccnc2c1ncn2C1OC(CO)C(O)C1O
Nc1ccnc2c1ncn2C1OC(CO)C(O)C1,Nc1ccnc2c1ncn2C1OC(CO)C(O)C1O
OCC1NCC(O)C(O)OC1O,OCC1NCC(O)C(O)C1O
OCC1NCC(O)C(O)C1,OCC1NCC(O)C(O)C1O
OCC1NCC(O)C(2O)C1O,OCC1NCC(O)C(O)C1O
CCOC(=O)NC(Cc1ccccc1)C(C=O)N1CCCC1C(=O)NNCCCCN,CCOC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NNCCCCN
CCOC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NNCCCC,CCOC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NNCCCCN
CCOC(=O)C(Cc1ccccc11)C(=O)N1CCCC1C(=O)NNCCCCN,CCOC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NNCCCCN
CCCCCC=CCC=CCC=CCC=CCCCC(=OSOC(CO)COCCCCCCCCCCCCCCCC,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COCCCCCCCCCCCCCCCC
CCCCCC=CCC=CCC=CCC=OCCCC(=O)OC(CO)COCCCCCCCCCCCCCCCC,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COCCCCCCCCCCCCCCCC
CCCCCC=CCC=CCC=CCC=CCCCC(==O)OC(C)COCCCCCCCCCCCCCCCC,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COCCCCCCCCCCCCCCCC
CCCCCCCCCCCCCCCCClCC(COP(=O)([O-])OCC[N+](C)(C)C)OC,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC
CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC
CPCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC
CCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)O,CCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC
CCCCCCCCC2CCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC,CCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC
CCCClCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC,CCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC
CCCCCCCCCCCCCCCCOCC(CO)OC(C)=,CCCCCCCCCCCCCCCCOCC(CO)OC(C)=O
CCCCCPCCCCCCCCCCOC(CO)OC(C)=O,CCCCCCCCCCCCCCCCOCC(CO)OC(C)=O
CCCCCCCCCCCCCCCCOC2(CO)OC(C)=O,CCCCCCCCCCCCCCCCOCC(CO)OC(C)=O
CCCCCCCCCCCCCCCCOCC(CO)O,CCCCCCCCCCCCCCCCOCC(CO)OC
CCCCCCCCCCCCCCCCOCC(CO)O,CCCCCCCCCCCCCCCCOCC(CO)OC
CCCCCCCCCCCCCCCCOCC(CO)O,CCCCCCCCCCCCCCCCOCC(CO)OC
CCCCCCCCCCOCC(COCC(F)(F)F)OP(=O(O)POC,CCCCCCCCCCOCC(COCC(F)(F)F)OP(=O)(O)OC
CCCCCCCCCCOCC(COCC(F)(F)F)OP(=O)(O)O,CCCCCCCCCCOCC(COCC(F)(F)F)OP(=O)(O)OC
CCCCCCCCCCOCC(COCC(F)(F)F)OP(=O)(O)O,CCCCCCCCCCOCC(COCC(F)(F)F)OP(=O)(O)OC
Cc1cc2c(c(O)c1C)C(=O)c1ccccc1C2=,Cc1cc2c(c(O)c1C)C(=O)c1ccccc1C2=O
Cc1cc2c(c(NO)c1C)C(=O)c1ccccc1C2=O,Cc1cc2c(c(O)c1C)C(=O)c1ccccc1C2=O
Cc1cc2c(c(O)c1C)C(=O)c1ccccc1C2=,Cc1cc2c(c(O)c1C)C(=O)c1ccccc1C2=O
CNNCCN(C)N(O)N=O,CNCCCN(C)N(O)N=O
CNCCCN(C)N(O)N=,CNCCCN(C)N(O)N=O
CNCCCN(C)N(O)N=,CNCCCN(C)N(O)N=O
CO1cc2c(CO)[nH]ccc-2cc1=O,COc1cc2c(CO)[nH]ccc-2cc1=O
CO21cc2cc(CO)ccc-2cc1=O,COc1cc2c(CO)[nH]ccc-2cc1=O
COc1cc2c(CO)[nH]ccc-2c1c=O,COc1cc2c(CO)[nH]ccc-2cc1=O
CC1=C(C(=O)Nc2ccc(ClCl)c(C(=O)OC(C)C)c2)SCCO1,CC1=C(C(=O)Nc2ccc(Cl)c(C(=O)OC(C)C)c2)SCCO1
CC1=C(C(=O)Nc2ccc(Cl)c(C(=O)OC(C)C)c2)SCCO,CC1=C(C(=O)Nc2ccc(Cl)c(C(=O)OC(C)C)c2)SCCO1
CC1=C(C(=O)Nc2ccc(Cl)c(C(=O)OC(C)C)c2)SCCO,CC1=C(C(=O)Nc2ccc(Cl)c(C(=O)OC(C)C)c2)SCCO1
CC(C)OC(=1O)c1cc(N=C2S)OC(C)C)ccc1Cl,CC(C)OC(=O)c1cc(N=C(S)OC(C)C)ccc1Cl
CC(C)OC(=O)c1cc(N=C(S)OC(C)C)ccc1,CC(C)OC(=O)c1cc(N=C(S)OC(C)C)ccc1Cl
CC(C)OC(=O)c1cc(N=C(S)OC(C)C)ccc1,CC(C)OC(=O)c1cc(N=C(S)OC(C)C)ccc1Cl
Cn1sc(=O)c2cc(S(N)(=O)=O)ccc,Cn1sc(=O)c2cc(S(N)(=O)=O)ccc21
Cn1sc(=O)c2cc(S(N)(=O)c)Occ21,Cn1sc(=O)c2cc(S(N)(=O)=O)ccc21
Cn1sc(=O)c2cc(S(N)(=O)=SO)ccc21,Cn1sc(=O)c2cc(S(N)(=O)=O)ccc21
CN1CC=C(c2ccccc))CCC1,CN1CC=C(c2ccccc2)CC1
CN1CC=C(c2ccccc2)CCl1,CN1CC=C(c2ccccc2)CC1
CN1CC=C(c2ccccc2)CC,CN1CC=C(c2ccccc2)CC1
CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCCC3COc3ccccc3)cc21,CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCCC3COc3ccccc3)ccc21
CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCCC3COc3ccccc3)ccc,CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCCC3COc3ccccc3)ccc21
CN1C(=O)C(=O)S2cc(S(=O)(=O)N3CCCC3COc3ccccc3)ccc21,CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCCC3COc3ccccc3)ccc21
Cn1cc1cn,Cn1ccnc1
Cn=cOcnc1,Cn1ccnc1
Cn1ccnc,Cn1ccnc1
Cn1c(N)c2ncn(C3ClOC(CO)C(O)C3O)c2nc1=O,Cn1c(N)c2ncn(C3OC(CO)C(O)C3O)c2nc1=O
Cn1c(N)c2ncn(C3OC(PCO)C(O)C3O)c2nc1O,Cn1c(N)c2ncn(C3OC(CO)C(O)C3O)c2nc1=O
Cn1c(N)c2ncn(C3OC(CO)C(O)C3O)c2nc1=,Cn1c(N)c2ncn(C3OC(CO)C(O)C3O)c2nc1=O
CCCCCCCCCCCCCCCCCCO)C(COP(=O)([O-])OCC[N+](CC(C)C)OC,CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC
CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)1)OC,CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC
CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O,CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC
CCCCCCCCCCCCCCCCCCOCC(COP(=O)(OOCC[N+](C)(C)C)OC,CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC
CCCCC(CCCCCCCCCCCOCCCCOP(=O)(O)OCC[N+](C)(C)C)OC,CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC
CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)O,CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC
CCCCCCCCC=CCHCCCCCC(=O)OCC(CO)OC(C)=O,CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(C)=O
CCCCCCCCC=CSCCCCCCC(=O)OCC(CO)OC(C)=,CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(C)=O
CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(C)=,CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(C)=O
SC(=Nc1nNcs1))Nc1ccccc1,SC(=Nc1nccs1)Nc1ccccc1
SC(=Nc1cccs1)Nc1cccnc1,SC(=Nc1nccs1)Nc1ccccc1
)C(=Nc1nccs1SNc1ccccc1,SC(=Nc1nccs1)Nc1ccccc1
NS(=O)(=O)c1Brccc(-n=nc(C(F)(F)F)cc2-c2ccc(Br)cc2)c1,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)ccc-c2ccc(Br)cc2)2c1,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1
NS(=O)(=O)c1ccc(-n2nc(C(F)(2)F)cc2-c2ccc(Br)cc2)cc1,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1
CCCCCC=CCC=CCC=CC=CCCCC(=O)OC(CCO)COC(=O)CCCCCCCCCCCCCCCCC,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CCO)COC(=O)CCCCCCCCCCCCCCCCC
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CCO)CCOC(=O)CCCCCCCCCCCCCCCCC,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CCO)COC(=O)CCCCCCCCCCCCCCCCC
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CCO)COC(=O)CCCCCCCCCCCCCCCC,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CCO)COC(=O)CCCCCCCCCCCCCCCCC
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCC,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCC
CCCCCC==CCC=CCC=CCC=CCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCC,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCC
CC2CCC=CCC=CCC=CCC=CCCCC(=O)OC(CO))COC(=O)CCCCCCCCCCCCCCCCC,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCC
CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCC,CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCC
CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCC,CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCC
CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCC,CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCC
C2c1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1
Cc1ccc(-c2nn(c(C(C)C)c3ncnc(N)c23)Cc1,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1
Cc1ccc(-c2nn(C(C)(C)C)c3n)nc(Ncc23)cc1,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1
CCN(CC)CCCCNc1ncc2cc(Nc3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1
CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1
CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(SO)NC(C)(C)C)nc2n1,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1
N#Cc1cccc(CC(NC(=O)C2CCCN2C(=O)C(N)Cc2ccccc2)B(O)O)c,N#Cc1cccc(CC(NC(=O)C2CCCN2C(=O)C(N)Cc2ccccc2)B(O)O)c1
N#Cc1cccc(CC(NC(=O)C2)CCN2C(=O)C(N)Cc2ccccc2)B(O)OCc1,N#Cc1cccc(CC(NC(=O)C2CCCN2C(=O)C(N)Cc2ccccc2)B(O)O)c1
N#Cc1cccc(CC(NC(=O)C2CCCN2C(=O)C(N)Cc2ccccc2)B(O)O)c,N#Cc1cccc(CC(NC(=O)C2CCCN2C(=O)C(N)Cc2ccccc2)B(O)O)c1
CCN(CC)C(C)C(=O)1c2ccccc2Sc2ccccc21,CCN(CC)C(C)C(=O)N1c2ccccc2Sc2ccccc21
CCN(CC)C(C)C(=O)N1c2ccccc2Sc2ccccc,CCN(CC)C(C)C(=O)N1c2ccccc2Sc2ccccc21
CCN(CC)C(C)C(=O)N1c2ccccc2Sc2ccccc,CCN(CC)C(C)C(=O)N1c2ccccc2Sc2ccccc21
Nc1nc(=O)c2cc(CC(C(=O)O)c3ccc(C(=O)NC(CCC=O)O)C(=O)O)cc3)ccc2[nH]1,Nc1nc(=O)c2cc(CC(C(=O)O)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2[nH]1
Nc1nc(=O)c2cc(CC(C(=O)O)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2[nH],Nc1nc(=O)c2cc(CC(C(=O)O)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2[nH]1
Nc1nc(=O)c2cc(CC(C(=O)O)c3ccc(C(=O)N1C(CCC(=O)O)C(=O)O)cc3)ccc2[nH]1,Nc1nc(=O)c2cc(CC(C(=O)O)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2[nH]1
C#CCN(Cc1cccBr2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)(C=O)O)cc1,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc()(=O)NC(CCC(=O)O)C(=O)O)cc1,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=P)O)C(=O)O)cc1,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
CCCCCC=CC=CC(O)CC=CCC=CCCCC(=O),CCCCCC=CC=CC(O)CC=CCC=CCCCC(=O)O
CCCCCC=CC=CC(O)CC=CCC=CCCCC(=O),CCCCCC=CC=CC(O)CC=CCC=CCCCC(=O)O
CCCCCC=CC=CCO)CC=CCC=CCCCC(=O)O,CCCCCC=CC=CC(O)CC=CCC=CCCCC(=O)O
CCCCCC=CCC1OC1CC=CCC=CCCCC(=O),CCCCCC=CCC1OC1CC=CCC=CCCCC(=O)O
CCCCCCO=CCC1OC=CC=CC=CCCCC(=O)O,CCCCCC=CCC1OC1CC=CCC=CCCCC(=O)O
CCCCCC=CCC1OC1CC=CCC=CCCCC(=O),CCCCCC=CCC1OC1CC=CCC=CCCCC(=O)O
CC(C)CCNCC(O)C1Cc2ccc(cc2)OCCCC(=O)NC(C(C)C)C(=O)N,CC(C)CCNCC(O)C1Cc2ccc(cc2)OCCCC(=O)NC(C(C)C)C(=O)N1
CC(C)CCNCC(O)C1Cc2ccc(cc2)OCCCC(=O)NC(C(C)C)C(=O)N,CC(C)CCNCC(O)C1Cc2ccc(cc2)OCCCC(=O)NC(C(C)C)C(=O)N1
CC(C)CCNCC(O)C1Cc2ccc(cc2)OCCCC(=O)=NC(C(C)C)C(=O)N1,CC(C)CCNCC(O)C1Cc2ccc(cc2)OCCCC(=O)NC(C(C)C)C(=O)N1
CCCCCC(O)C=CC1OC(=O)CC(O)C1CC=CCCCC(=O),CCCCCC(O)C=CC1OC(=O)CC(O)C1CC=CCCCC(=O)O
CCCCCC(O)C=C(1OC(=O)CCCO)C1CC=CCPCCC(=O)O,CCCCCC(O)C=CC1OC(=O)CC(O)C1CC=CCCCC(=O)O
CCCCCC(O)C=CC1OC(=O)CC(O)C1CC=CCCCC(=O),CCCCCC(O)C=CC1OC(=O)CC(O)C1CC=CCCCC(=O)O
COc1cccc2c1C(=O)c1cCcc3c(c1O)C(OC1CC(N)C(O)C(C)O1)CC(O)(C(C)=O)C3)C2=O,COc1cccc2c1C(=O)c1c(cc3c(c1O)C(OC1CC(N)C(O)C(C)O1)CC(O)(C(C)=O)C3)C2=O
COc1cccc2c1C(=O)c1c(cc3c(c1O)C(OC1CC(N)C(O)C(C)O1)CC(O)(=C(C)=O)C3)C2=O,COc1cccc2c1C(=O)c1c(cc3c(c1O)C(OC1CC(N)C(O)C(C)O1)CC(O)(C(C)=O)C3)C2=O
COc1cccc2c1C(=O)c1c(cc3c(c1O)C(OC1CC(N)C(O)C(C)O1)CC(O)(C(C)=O)C3)C2=,COc1cccc2c1C(=O)c1c(cc3c(c1O)C(OC1CC(N)C(O)C(C)O1)CC(O)(C(C)=O)C3)C2=O
CCCCc1cc(O)c2c(c11OC(C)CC)(1CC=C(C(=O)O)CC21,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C(=O)O)CC21
CCCCCc1cc(O)c2c(c12)OC(C)(C)C1CC=C(C(=O)O)CC21,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C(=O)O)CC21
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C(=O)O)CC,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C(=O)O)CC21
O=C(O)CCCC=CC=CC=CC(O)CC=CClCCCCO,O=C(O)CCCC=CCC=CC=CC(O)CC=CCCCCCO
O=P(O)CCCC=CCC=CC=CC(O)CC=CCCCCCO,O=C(O)CCCC=CCC=CC=CC(O)CC=CCCCCCO
O=C(O)CCCC=CCC=CCC=CC(O)CC=CCCCCCO,O=C(O)CCCC=CCC=CC=CC(O)CC=CCCCCCO
CCCCCC=CCC(O)C=CC=CCC=CCCHC(=O)O,CCCCCC=CCC(O)C=CC=CCC=CCCCC(=O)O
CCCCCC=CCC(O)C=CC=CC=CCCCC(=O)O,CCCCCC=CCC(O)C=CC=CCC=CCCCC(=O)O
CCCCCC=CCC(O)C=CC=C2CC=CCCCC(=O)O,CCCCCC=CCC(O)C=CC=CCC=CCCCC(=O)O
CCCCCC(O)C=CC=CCC=CCCCC(=O),CCCCCC(O)C=CC=CCC=CCCCC(=O)O
CCCCCC(O)C=CC=CCC=CCCCC(=O),CCCCCC(O)C=CC=CCC=CCCCC(=O)O
CCCCCC(O)C=CC=CCC=CCCCC(=O),CCCCCC(O)C=CC=CCC=CCCCC(=O)O
CCCCCC1OC1CC=CCCCCCCCC(=O),CCCCCC1OC1CC=CCCCCCCCC(=O)O
CCCCCC1OC1CC=CCCCCCCCC(=O),CCCCCC1OC1CC=CCCCCCCCC(=O)O
CCCCCC1OC1CC=CCCCCCCCC(=O),CCCCCC1OC1CC=CCCCCCCCC(=O)O
CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3OC(C)=,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3OC(C)=O
CCCccc(=O)oc2c3c(c4)(c12)OC(C)(CcC=NC4)OC(C)C(C)C3OC(C)=O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3OC(C)=O
CCCc1cc(=O)oc2c3c(c4c(c12)OC(C1(C)C=4)OC(C)C(C)C3OC(C)=O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3OC(C)=O
CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)CC4)OC(C)C(C)C3,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)CC4)OC(C)C(C)C3N
CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)CC4)OC(C)C2(CSC3N,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)CC4)OC(C)C(C)C3N
CCCc1cc(=O)oc2c3c(c4c(12)OC(C)(C)CC4)OC(C)C(C)C3N,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)CC4)OC(C)C(C)C3N
CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3N=[N+]=,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3N=[N+]=[N-]
CCCc1c(=O)oc(c3c(c4c(cC)12O(C)(C)C=C4)OC(C)C2C)C3N=[N+]=[N-],CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3N=[N+]=[N-]
CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3N=[N+]=,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3N=[N+]=[N-]
COCCCCCCCCCCCC(=)O,COCCCCCCCCCCCC(=O)O
COCCCCCCCCCCCC(=O),COCCCCCCCCCCCC(=O)O
COCCCCCCCCCCCC(=O),COCCCCCCCCCCCC(=O)O
CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=4)OC(C)C(C)C3=O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3=O
CCCc1cc(=O)oc2c3c(c4c((c12)OC(C)(C)C=C4)OC(C)C(C)C3=O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3=O
CCCc1cc(=O)oc2c3c(cS4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3=O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3=O
CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3S
CCCc1cc(1O)oc2c3(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3S,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3S
CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)2OC(C)C(C)C3S,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3S
CCCCCCCNC1CCCC1CCCCCCC(=)O,CCCCCCCNC1CCCC1CCCCCCC(=O)O
CCPCCCCNCS1CCC1CCCCCCC(=O)O,CCCCCCCNC1CCCC1CCCCCCC(=O)O
CCCCCCCNC1CCC1CCCCCCC(=O)O,CCCCCCCNC1CCCC1CCCCCCC(=O)O
CCCCCC()C=CC=CCCCCCCCC(=OC)O,CCCCCC(O)C=CC=CCCCCCCCC(=O)O
CCCCCC(O)C=CC=CCCCCCCCC(=O),CCCCCC(O)C=CC=CCCCCCCCC(=O)O
CCCCCC(O)C=CC=CCCCCCCCC(=O),CCCCCC(O)C=CC=CCCCCCCCC(=O)O
CCCCCC(O)C=CC=CCC=CCCCCC(=O),CCCCCC(O)C=CC=CCC=CCCCCC(=O)O
CCCCCC(O)C=CC=CCC=CCCCCC(=O),CCCCCC(O)C=CC=CCC=CCCCCC(=O)O
CCCCCC(O)C=CC=CCC=CCCCC(=O)O,CCCCCC(O)C=CC=CCC=CCCCCC(=O)O
